time_period,geographic_level,region_code,region_name,new_la_code,la_name,entitlement_type,age,number_children_sen,percentage_children_sen
2024-01-01,Local authority,E12000002,North West,E08000014,Sefton,30-hour entitlement,4-year-olds,25,4.4
2024-01-01,Local authority,E12000002,North West,E08000014,Sefton,30-hour entitlement,3 and 4-year-olds,68,3.3
2024-01-01,Local authority,E12000002,North West,E08000013,St. Helens,15-hour entitlement,3-year-olds,109,6
2024-01-01,Local authority,E12000002,North West,E08000013,St. Helens,15-hour entitlement,4-year-olds,233,12.6
2024-01-01,Local authority,E12000002,North West,E08000013,St. Helens,15-hour entitlement,3 and 4-year-olds,342,9.3
2024-01-01,Local authority,E12000002,North West,E08000013,St. Helens,30-hour entitlement,3-year-olds,43,4.3
2024-01-01,Local authority,E12000002,North West,E08000013,St. Helens,30-hour entitlement,4-year-olds,17,5.1
2024-01-01,Local authority,E12000002,North West,E08000013,St. Helens,30-hour entitlement,3 and 4-year-olds,60,4.5
2024-01-01,Local authority,E12000002,North West,E08000007,Stockport,15-hour entitlement,3-year-olds,228,7.2
2024-01-01,Local authority,E12000002,North West,E08000007,Stockport,15-hour entitlement,4-year-olds,393,11.8
2024-01-01,Local authority,E12000002,North West,E08000007,Stockport,15-hour entitlement,3 and 4-year-olds,621,9.6
2024-01-01,Local authority,E12000002,North West,E08000007,Stockport,30-hour entitlement,3-year-olds,108,5.6
2024-01-01,Local authority,E12000002,North West,E08000007,Stockport,30-hour entitlement,4-year-olds,57,7.6
2024-01-01,Local authority,E12000002,North West,E08000007,Stockport,30-hour entitlement,3 and 4-year-olds,165,6.1
2024-01-01,Local authority,E12000002,North West,E08000008,Tameside,15-hour entitlement,3-year-olds,222,9.2
2024-01-01,Local authority,E12000002,North West,E08000008,Tameside,15-hour entitlement,4-year-olds,366,13.1
2024-01-01,Local authority,E12000002,North West,E08000008,Tameside,15-hour entitlement,3 and 4-year-olds,588,11.3
2024-01-01,Local authority,E12000002,North West,E08000008,Tameside,30-hour entitlement,3-year-olds,87,7
2024-01-01,Local authority,E12000002,North West,E08000008,Tameside,30-hour entitlement,4-year-olds,42,8.2
2024-01-01,Local authority,E12000002,North West,E08000008,Tameside,30-hour entitlement,3 and 4-year-olds,129,7.4
2024-01-01,Local authority,E12000002,North West,E08000009,Trafford,15-hour entitlement,3-year-olds,93,3.7
2024-01-01,Local authority,E12000002,North West,E08000009,Trafford,15-hour entitlement,4-year-olds,254,9.3
2024-01-01,Local authority,E12000002,North West,E08000009,Trafford,15-hour entitlement,3 and 4-year-olds,347,6.6
2024-01-01,Local authority,E12000002,North West,E08000009,Trafford,30-hour entitlement,3-year-olds,35,2.4
2024-01-01,Local authority,E12000002,North West,E08000009,Trafford,30-hour entitlement,4-year-olds,23,4
2024-01-01,Local authority,E12000002,North West,E08000009,Trafford,30-hour entitlement,3 and 4-year-olds,58,2.8
2024-01-01,Local authority,E12000002,North West,E06000007,Warrington,15-hour entitlement,3-year-olds,98,4.8
2024-01-01,Local authority,E12000002,North West,E06000007,Warrington,15-hour entitlement,4-year-olds,190,8.2
2024-01-01,Local authority,E12000002,North West,E06000007,Warrington,15-hour entitlement,3 and 4-year-olds,288,6.6
2024-01-01,Local authority,E12000002,North West,E06000007,Warrington,30-hour entitlement,3-year-olds,45,3.5
2024-01-01,Local authority,E12000002,North West,E06000007,Warrington,30-hour entitlement,4-year-olds,29,5.8
2024-01-01,Local authority,E12000002,North West,E06000007,Warrington,30-hour entitlement,3 and 4-year-olds,74,4.2
2024-01-01,Local authority,E12000002,North West,E06000064,Westmorland and Furness,15-hour entitlement,3-year-olds,82,4.5
2024-01-01,Local authority,E12000002,North West,E06000064,Westmorland and Furness,15-hour entitlement,4-year-olds,219,11.3
2024-01-01,Local authority,E12000002,North West,E06000064,Westmorland and Furness,15-hour entitlement,3 and 4-year-olds,301,8
2024-01-01,Local authority,E12000002,North West,E06000064,Westmorland and Furness,30-hour entitlement,3-year-olds,33,2.7
2024-01-01,Local authority,E12000002,North West,E06000064,Westmorland and Furness,30-hour entitlement,4-year-olds,33,6.4
2024-01-01,Local authority,E12000002,North West,E06000064,Westmorland and Furness,30-hour entitlement,3 and 4-year-olds,66,3.8
2024-01-01,Local authority,E12000002,North West,E08000010,Wigan,15-hour entitlement,3-year-olds,109,3.3
2024-01-01,Local authority,E12000002,North West,E08000010,Wigan,15-hour entitlement,4-year-olds,417,11.8
2024-01-01,Local authority,E12000002,North West,E08000010,Wigan,15-hour entitlement,3 and 4-year-olds,526,7.7
2024-01-01,Local authority,E12000002,North West,E08000010,Wigan,30-hour entitlement,3-year-olds,36,1.8
2024-01-01,Local authority,E12000002,North West,E08000010,Wigan,30-hour entitlement,4-year-olds,15,2.2
2024-01-01,Local authority,E12000002,North West,E08000010,Wigan,30-hour entitlement,3 and 4-year-olds,51,1.9
2024-01-01,Local authority,E12000002,North West,E08000015,Wirral,15-hour entitlement,3-year-olds,219,7.2
2024-01-01,Local authority,E12000002,North West,E08000015,Wirral,15-hour entitlement,4-year-olds,510,15
