time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,entitlement_type,age,number_children,number_eligible_children,percentage_eligible_children
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,15-hour entitlement,2-year-olds,1526,2007,76
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,15-hour entitlement,3-year-olds,4860,5554,87.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,15-hour entitlement,4-year-olds,5506,5752,95.7
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,15-hour entitlement,3 and 4-year-olds,10366,11305,91.7
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,15-hour entitlement,Total,14573,16410,88.8
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,15-hour entitlement,2-year-olds,1862,2699,69
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,15-hour entitlement,3-year-olds,5958,6731,88.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,15-hour entitlement,4-year-olds,6753,6980,96.7
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,15-hour entitlement,3 and 4-year-olds,12711,13711,92.7
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,15-hour entitlement,Total,7107,7482,95
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,15-hour entitlement,2-year-olds,1068,1331,80.2
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,15-hour entitlement,3-year-olds,2888,3005,96.1
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,15-hour entitlement,4-year-olds,3151,3146,100.1
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,15-hour entitlement,3 and 4-year-olds,6039,6151,98.2
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,15-hour entitlement,Total,6272,6634,94.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,15-hour entitlement,2-year-olds,823,1066,77.2
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,15-hour entitlement,3-year-olds,2542,2719,93.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,15-hour entitlement,4-year-olds,2907,2849,102
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,15-hour entitlement,3 and 4-year-olds,5449,5568,97.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,15-hour entitlement,Total,7865,7844,100.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,15-hour entitlement,2-year-olds,1032,1302,79.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,15-hour entitlement,3-year-olds,3247,3230,100.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,15-hour entitlement,4-year-olds,3586,3312,108.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,15-hour entitlement,3 and 4-year-olds,6833,6542,104.4
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,15-hour entitlement,Total,6099,6139,99.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,15-hour entitlement,2-year-olds,738,779,94.7
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,15-hour entitlement,3-year-olds,2534,2595,97.6
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,15-hour entitlement,4-year-olds,2827,2765,102.2
